execution,round,train_loss,eval_loss,eval_acc
1,1,3.8216,1.3222,0.47236
1,2,2.7268,1.1709,0.58732
1,3,2.415,1.0987,0.62339
1,4,2.2542,1.061,0.61352
1,5,2.1399,1.1472,0.58701
1,6,2.042,1.1121,0.61273
1,7,1.952,1.4852,0.43461
1,8,1.8651,1.2355,0.59021
1,9,1.7883,0.84735,0.71082
1,10,1.7189,0.97579,0.64251
2,1,4.3446,1.9188,0.46434
2,2,3.2052,1.4879,0.43149
2,3,2.7107,1.1779,0.49281
2,4,2.4393,1.1536,0.54807
2,5,2.2613,1.1509,0.62014
2,6,2.1216,1.1953,0.63371
2,7,1.9955,0.78209,0.71826
2,8,1.8894,1.016,0.65273
2,9,1.8021,0.92983,0.72098
2,10,1.7268,0.85848,0.7234
3,1,4.1791,1.6989,0.3427
3,2,2.8633,1.9574,0.38452
3,3,2.5009,1.5108,0.43172
3,4,2.3089,1.1771,0.55084
3,5,2.1865,1.5076,0.50174
3,6,2.0796,1.6899,0.35865
3,7,1.985,1.2291,0.57322
3,8,1.9076,1.4,0.50169
3,9,1.8445,1.0203,0.61906
3,10,1.7887,1.1869,0.56545
4,1,3.7782,1.6522,0.49687
4,2,2.6265,1.7391,0.33171
4,3,2.2621,1.4098,0.4
4,4,2.0899,1.1921,0.59097
4,5,1.967,1.1187,0.64154
4,6,1.8694,1.011,0.63592
4,7,1.7893,1.3389,0.52079
4,8,1.7213,0.95218,0.64196
4,9,1.6606,0.99209,0.67647
4,10,1.6053,0.76468,0.73175
5,1,3.8524,1.9278,0.23337
5,2,2.5202,1.4564,0.36878
5,3,2.2425,1.2761,0.48333
5,4,2.0656,1.5219,0.46209
5,5,1.956,1.18,0.5902
5,6,1.87,1.1574,0.60578
5,7,1.8003,1.0373,0.63367
5,8,1.7392,1.3892,0.53597
5,9,1.6853,1.0681,0.62353
5,10,1.6375,1.0255,0.62574
