execution,round,train_loss,eval_loss,eval_acc
1,1,3.8216,2.4076,0.14315
1,2,2.7268,1.4201,0.50272
1,3,2.415,1.37,0.51335
1,4,2.2542,1.115,0.62927
1,5,2.1399,1.1431,0.59853
1,6,2.042,1.1184,0.59713
1,7,1.952,1.0991,0.60165
1,8,1.8651,0.97922,0.64946
1,9,1.7883,0.98072,0.6619
1,10,1.7189,0.99874,0.62779
2,1,4.3446,1.8005,0.4426
2,2,3.2053,1.6855,0.4091
2,3,2.7107,1.3839,0.51452
2,4,2.4391,1.361,0.55821
2,5,2.2614,1.2676,0.57021
2,6,2.1214,0.89385,0.67039
2,7,1.9961,0.99131,0.72387
2,8,1.89,1.1505,0.614
2,9,1.8033,1.0262,0.66928
2,10,1.7289,0.86807,0.707
3,1,4.1791,2.0405,0.23026
3,2,2.8633,1.8127,0.35846
3,3,2.5007,1.7841,0.33605
3,4,2.309,1.0189,0.63412
3,5,2.1865,1.3409,0.45899
3,6,2.0795,1.1804,0.57033
3,7,1.9848,1.3825,0.47494
3,8,1.9074,0.91468,0.65825
3,9,1.8442,1.0936,0.59656
3,10,1.7882,0.99224,0.63608
4,1,3.7782,1.4751,0.50563
4,2,2.6265,1.228,0.57222
4,3,2.2621,1.2714,0.56311
4,4,2.0899,1.3773,0.43549
4,5,1.967,0.81928,0.71127
4,6,1.8694,1.109,0.56021
4,7,1.7893,0.82613,0.745
4,8,1.7213,1.0544,0.56918
4,9,1.6607,0.71256,0.74671
4,10,1.6053,1.0864,0.56532
5,1,3.8524,1.664,0.24665
5,2,2.5202,1.3109,0.45878
5,3,2.2425,1.2186,0.53676
5,4,2.0656,0.9301,0.63839
5,5,1.956,1.092,0.63523
5,6,1.87,1.4072,0.50011
5,7,1.8003,1.1085,0.58002
5,8,1.7394,0.86366,0.66846
5,9,1.6853,0.87038,0.67033
5,10,1.6374,1.0493,0.64685
